City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahanje,TZ,2022-12-21 04:12:31,-9.9333,35.3333,66.04,89,100,2.19
1,Khandyga,RU,2022-12-21 04:12:32,62.6667,135.6,-27.98,99,71,0.96
2,San Patricio,US,2022-12-21 04:12:32,28.017,-97.5169,55.83,76,100,9.86
3,Victoria,HK,2022-12-21 04:09:25,22.2855,114.1577,69.24,46,100,11.99
4,Hofn,IS,2022-12-21 04:12:33,64.2539,-15.2082,33.6,71,100,39.44
5,Tuatapere,NZ,2022-12-21 04:12:33,-46.1333,167.6833,64.31,55,24,10.6
6,Hermanus,ZA,2022-12-21 04:12:34,-34.4187,19.2345,57.79,69,7,13.82
7,Puerto Ayora,EC,2022-12-21 04:12:34,-0.7393,-90.3518,71.55,96,45,4.92
8,Upernavik,GL,2022-12-21 04:12:34,72.7868,-56.1549,8.71,96,100,14.34
9,Salalah,OM,2022-12-21 04:12:35,17.0151,54.0924,70.88,28,76,12.68
10,Bredasdorp,ZA,2022-12-21 04:12:35,-34.5322,20.0403,60.08,66,17,8.46
11,Punta Arenas,CL,2022-12-21 04:12:36,-53.15,-70.9167,57.11,71,0,6.91
12,Talnakh,RU,2022-12-21 04:12:36,69.4865,88.3972,-20.79,98,100,6.04
13,Provideniya,RU,2022-12-21 04:12:19,64.3833,-173.3,21.31,68,0,29.08
14,Coihaique,CL,2022-12-21 04:12:37,-45.5752,-72.0662,57.15,77,0,3.44
15,Atuona,PF,2022-12-21 04:12:37,-9.8,-139.0333,78.48,79,11,22.12
16,Danville,US,2022-12-21 04:11:24,36.586,-79.395,29.34,83,0,0.0
17,Batagay,RU,2022-12-21 04:12:18,67.6333,134.6333,-30.68,96,53,2.62
18,Dikson,RU,2022-12-21 04:12:38,73.5069,80.5464,-1.43,95,100,8.43
19,Katsina,NG,2022-12-21 04:12:38,12.9894,7.6006,59.77,36,95,11.88
20,Hobart,AU,2022-12-21 04:08:06,-42.8794,147.3294,70.23,60,75,10.36
21,Rikitea,PF,2022-12-21 04:12:39,-23.1203,-134.9692,76.64,86,36,18.28
22,Torbay,CA,2022-12-21 04:12:39,47.6666,-52.7314,35.58,87,34,21.99
23,Caravelas,BR,2022-12-21 04:12:40,-17.7125,-39.2481,74.73,92,96,9.19
24,Petropavlovsk-Kamchatskiy,RU,2022-12-21 04:12:40,53.0452,158.6483,27.19,69,20,2.24
25,Bluff,NZ,2022-12-21 04:12:41,-46.6,168.3333,56.07,72,99,20.04
26,Mandan,US,2022-12-21 04:12:41,46.8267,-100.8896,-10.62,75,100,3.44
27,Turka,UA,2022-12-21 04:09:05,49.1541,23.0297,26.26,68,93,7.96
28,Monrovia,LR,2022-12-21 04:12:00,6.3005,-10.7969,69.57,81,99,3.87
29,Castro,BR,2022-12-21 04:12:42,-24.7911,-50.0119,56.48,95,93,4.5
30,Kapaa,US,2022-12-21 04:10:26,22.0752,-159.319,75.52,72,0,13.8
31,Sitka,US,2022-12-21 04:11:12,57.0531,-135.33,19.29,58,0,5.75
32,Lompoc,US,2022-12-21 04:10:54,34.6391,-120.4579,48.78,91,51,8.84
33,Fortuna,US,2022-12-21 04:12:43,40.5982,-124.1573,52.14,94,100,5.01
34,Lindi,TZ,2022-12-21 04:12:44,-10.0,39.7167,77.68,86,99,2.39
35,Cape Town,ZA,2022-12-21 04:07:59,-33.9258,18.4232,64.11,72,3,13.0
36,Qaanaaq,GL,2022-12-21 04:12:44,77.484,-69.3632,-18.49,72,29,5.59
37,Albany,US,2022-12-21 04:08:26,42.6001,-73.9662,23.41,95,40,3.76
38,Dobrinka,RU,2022-12-21 04:12:45,52.1653,40.4731,25.74,96,92,6.58
39,Isangel,VU,2022-12-21 04:12:45,-19.55,169.2667,84.25,66,15,3.15
40,Thunder Bay,CA,2022-12-21 04:11:53,48.4001,-89.3168,1.26,87,100,11.45
41,Chuy,UY,2022-12-21 04:12:46,-33.6971,-53.4616,63.81,92,0,7.02
42,Areosa,PT,2022-12-21 04:12:46,41.7178,-8.8571,59.11,89,100,13.67
43,Georgetown,MY,2022-12-21 04:08:26,5.4112,100.3354,84.13,77,20,6.91
44,Hovd,MN,2022-12-21 04:12:47,48.0056,91.6419,7.38,81,11,1.21
45,Vila,PT,2022-12-21 04:12:47,42.0304,-8.1588,49.08,89,98,7.36
46,Tautira,PF,2022-12-21 04:13:48,-17.7333,-149.15,79.48,83,85,13.82
47,Mahebourg,MU,2022-12-21 04:08:51,-20.4081,57.7,80.89,65,40,6.91
48,Nouadhibou,MR,2022-12-21 04:13:49,20.931,-17.0347,66.11,51,0,17.38
49,Mataura,NZ,2022-12-21 04:13:49,-46.1927,168.8643,61.92,57,93,7.09
50,Ponta Do Sol,PT,2022-12-21 04:13:49,32.6667,-17.1,68.72,84,89,1.59
51,Khatanga,RU,2022-12-21 04:13:50,71.9667,102.5,-23.78,79,1,16.69
52,Patu,BR,2022-12-21 04:13:50,-6.11,-37.6367,76.26,71,3,7.02
53,Kirakira,SB,2022-12-21 04:13:51,-10.4544,161.9205,86.05,69,89,7.31
54,Roald,NO,2022-12-21 04:13:51,62.5833,6.1333,44.76,75,40,12.66
55,Vaini,TO,2022-12-21 04:13:52,-21.2,-175.2,81.61,78,4,12.35
56,Flagstaff,US,2022-12-21 04:11:38,35.1981,-111.6513,28.53,56,0,0.0
57,Corinto,GR,2022-12-21 04:13:52,37.9407,22.9573,48.88,77,7,4.21
58,Khasan,RU,2022-12-21 04:13:53,42.4308,130.6434,31.39,89,100,5.88
59,Sungaipenuh,ID,2022-12-21 04:13:53,-2.0833,101.3833,79.43,57,97,2.91
60,Humaita,BR,2022-12-21 04:09:18,-7.5061,-63.0208,72.03,98,68,0.89
61,Elko,US,2022-12-21 04:13:54,41.0002,-115.5012,28.22,96,78,4.88
62,Butaritari,KI,2022-12-21 04:13:54,3.0707,172.7902,82.15,79,100,17.13
63,Soledade,BR,2022-12-21 04:13:55,-28.8183,-52.5103,59.13,95,4,5.66
64,Haines Junction,CA,2022-12-21 04:13:55,60.7522,-137.5108,-26.7,99,100,0.29
65,Ternate,ID,2022-12-21 04:13:56,0.8,127.4,84.15,69,97,4.12
66,Atar,MR,2022-12-21 04:13:56,20.5169,-13.0499,61.12,37,0,11.12
67,East London,ZA,2022-12-21 04:13:57,-33.0153,27.9116,63.46,74,100,4.29
68,Maniitsoq,GL,2022-12-21 04:13:57,65.4167,-52.9,17.49,58,36,5.66
69,Jamestown,US,2022-12-21 04:13:58,42.097,-79.2353,26.71,97,75,4.61
70,Bethel,US,2022-12-21 04:13:58,41.3712,-73.414,28.94,74,0,3.0
71,New Norfolk,AU,2022-12-21 04:13:59,-42.7826,147.0587,69.89,37,91,1.99
72,Mount Gambier,AU,2022-12-21 04:13:59,-37.8333,140.7667,79.27,31,100,13.29
73,Lebu,CL,2022-12-21 04:13:59,-37.6167,-73.65,56.61,95,11,6.71
74,Hasaki,JP,2022-12-21 04:14:00,35.7333,140.8333,50.4,60,100,5.99
75,Nizwa,OM,2022-12-21 04:14:00,22.9333,57.5333,64.99,65,0,1.81
76,Norman Wells,CA,2022-12-21 04:14:01,65.282,-126.8329,-41.76,66,40,2.3
77,Longyearbyen,SJ,2022-12-21 04:10:09,78.2186,15.6401,10.24,72,40,10.36
78,Katsuura,JP,2022-12-21 04:14:01,35.1333,140.3,54.18,63,90,12.75
79,Yellowknife,CA,2022-12-21 04:10:57,62.456,-114.3525,-23.55,100,100,6.15
80,Luderitz,NA,2022-12-21 04:14:02,-26.6481,15.1594,63.07,80,0,7.25
81,Sembakung,ID,2022-12-21 04:14:03,3.8167,117.25,86.31,67,100,2.77
82,Vardo,NO,2022-12-21 04:14:03,70.3705,31.1107,26.58,74,20,13.8
83,Arraial Do Cabo,BR,2022-12-21 04:09:26,-22.9661,-42.0278,71.33,90,100,16.53
84,Katangli,RU,2022-12-21 04:14:04,51.7102,143.2326,4.26,78,100,16.64
85,Acari,PE,2022-12-21 04:14:04,-15.4311,-74.6158,72.64,84,43,2.39
86,Ushuaia,AR,2022-12-21 04:14:04,-54.8,-68.3,53.26,47,0,17.27
87,Tarko-Sale,RU,2022-12-21 04:15:05,64.9225,77.785,-8.72,94,100,13.38
88,Nikolskoye,RU,2022-12-21 04:15:06,59.7035,30.7861,22.91,96,100,8.39
89,Faanui,PF,2022-12-21 04:15:08,-16.4833,-151.75,81.12,76,63,18.21
90,Pangnirtung,CA,2022-12-21 04:15:09,66.1451,-65.7125,4.21,80,32,3.94
91,Tazovskiy,RU,2022-12-21 04:15:09,67.4667,78.7,-33.2,99,78,6.13
92,Tuktoyaktuk,CA,2022-12-21 04:15:10,69.4541,-133.0374,-14.71,99,99,9.28
93,Shingu,JP,2022-12-21 04:15:10,33.7333,135.9833,52.56,59,29,5.53
94,Tambun,ID,2022-12-21 04:15:10,-6.2641,107.0712,89.64,62,40,8.05
95,Paamiut,GL,2022-12-21 04:15:11,61.994,-49.6678,12.83,58,4,10.27
96,San Cristobal,VE,2022-12-21 04:15:11,7.7669,-72.225,68.18,84,55,1.23
97,Barrow,US,2022-12-21 04:15:12,71.2906,-156.7887,-12.98,84,0,6.91
98,Airai,TL,2022-12-21 04:15:12,-8.9266,125.4092,63.99,87,100,3.58
99,Saskylakh,RU,2022-12-21 04:15:12,71.9167,114.0833,-32.78,96,76,6.44
100,Naze,JP,2022-12-21 04:15:13,28.3667,129.4833,63.72,74,100,15.28
101,Kungurtug,RU,2022-12-21 04:15:14,50.5994,97.5228,9.18,90,92,1.59
102,Hay River,CA,2022-12-21 04:15:14,60.8156,-115.7999,-24.57,96,38,4.47
103,Envira,BR,2022-12-21 04:15:14,-7.3,-70.2167,70.16,99,100,1.99
104,Ambulu,ID,2022-12-21 04:15:15,-8.345,113.6058,86.5,63,56,6.98
105,San Rafael,AR,2022-12-21 04:15:15,-34.6177,-68.3301,73.35,42,41,13.02
106,Hilo,US,2022-12-21 04:14:50,19.7297,-155.09,75.25,85,20,3.44
107,Nome,US,2022-12-21 04:15:16,64.5011,-165.4064,8.67,61,0,12.66
108,Lufilufi,WS,2022-12-21 04:15:16,-13.8745,-171.5986,86.79,77,21,18.45
109,Lagoa,PT,2022-12-21 04:15:17,39.05,-27.9833,62.26,91,100,21.68
110,Santa Fe,AR,2022-12-21 04:10:40,-31.6333,-60.7,80.01,57,0,5.01
111,Ugoofaaru,MV,2022-12-21 04:15:17,5.6667,73.0,80.44,72,100,3.22
112,Kapit,MY,2022-12-21 04:15:18,2.0167,112.9333,84.34,80,95,1.88
113,Dukat,RU,2022-12-21 04:15:18,62.55,155.55,14.27,96,82,8.97
114,Santarem,BR,2022-12-21 04:15:19,-2.4431,-54.7083,77.13,94,40,3.44
115,Nevsehir,TR,2022-12-21 04:15:19,38.9167,34.6667,29.41,80,100,4.61
116,Hithadhoo,MV,2022-12-21 04:15:20,-0.6,73.0833,80.67,70,100,11.18
117,Busselton,AU,2022-12-21 04:13:38,-33.65,115.3333,83.59,33,47,3.42
118,Dubbo,AU,2022-12-21 04:15:20,-32.25,148.6167,80.73,22,51,8.05
119,Santa Maria,BR,2022-12-21 04:14:55,-29.6842,-53.8069,65.71,88,0,8.34
120,Avarua,CK,2022-12-21 04:15:21,-21.2078,-159.775,75.25,88,75,2.3
121,Oum Hadjer,TD,2022-12-21 04:15:21,13.2954,19.6966,66.11,35,14,7.7
122,Caconda,AO,2022-12-21 04:15:22,-13.7333,15.0667,55.98,84,100,4.21
123,Mahibadhoo,MV,2022-12-21 04:15:22,3.7833,72.9667,76.03,91,100,13.18
124,Bandarbeyla,SO,2022-12-21 04:15:23,9.4942,50.8122,76.84,78,72,17.92
125,Miranda,CO,2022-12-21 04:15:23,3.2499,-76.2281,68.13,80,93,3.4
126,The Valley,AI,2022-12-21 04:15:23,18.217,-63.0578,79.11,75,1,15.32
127,Solnechnyy,RU,2022-12-21 04:15:24,50.7214,136.6319,-3.19,87,66,2.84
128,Saldanha,ZA,2022-12-21 04:15:24,-33.0117,17.9442,61.75,79,0,13.62
129,Namibe,AO,2022-12-21 04:15:25,-15.1961,12.1522,67.15,78,46,4.5
130,Kodiak,US,2022-12-21 04:11:11,57.79,-152.4072,26.11,74,100,6.91
131,Byron Bay,AU,2022-12-21 04:15:25,-28.65,153.6167,75.94,60,65,9.35
132,Lacombe,CA,2022-12-21 04:12:26,52.4668,-113.7353,-23.26,97,100,5.84
133,Kavieng,PG,2022-12-21 04:15:26,-2.5744,150.7967,83.48,75,100,8.19
134,Dzhebariki-Khaya,RU,2022-12-21 04:15:27,62.2167,135.8,-25.8,98,93,1.1
135,Touros,BR,2022-12-21 04:16:27,-5.1989,-35.4608,77.5,82,14,8.66
136,Vila Franca Do Campo,PT,2022-12-21 04:16:27,37.7167,-25.4333,67.19,96,99,13.35
137,Sao Paulo Do Potengi,BR,2022-12-21 04:16:28,-5.895,-35.7628,78.91,83,4,3.62
138,Pisco,PE,2022-12-21 04:14:59,-13.7,-76.2167,69.03,86,82,1.14
139,Menongue,AO,2022-12-21 04:16:28,-14.6585,17.691,65.19,53,100,7.23
140,Codrington,AU,2022-12-21 04:16:29,-38.2667,141.9667,77.67,33,100,17.36
141,Sur,OM,2022-12-21 04:16:29,22.5667,59.5289,74.73,49,0,6.2
142,Namatanai,PG,2022-12-21 04:16:30,-3.6667,152.4333,85.19,68,91,9.55
143,Fort Wellington,GY,2022-12-21 04:16:30,6.4,-57.6,76.21,81,100,9.33
144,Sola,VU,2022-12-21 04:16:30,-13.8833,167.55,90.27,66,21,0.0
145,Buraydah,SA,2022-12-21 04:16:31,26.326,43.975,54.05,55,4,10.92
146,Morant Bay,JM,2022-12-21 04:16:31,17.8815,-76.4093,76.62,84,7,7.09
147,Darhan,MN,2022-12-21 04:16:32,49.4867,105.9228,-0.17,79,58,5.44
148,Ambon,ID,2022-12-21 04:16:32,-3.6954,128.1814,89.74,66,40,10.36
149,Galle,LK,2022-12-21 04:12:22,6.0367,80.217,80.47,79,74,5.88
150,Jiangyou,CN,2022-12-21 04:14:41,31.7667,104.7167,48.85,38,0,3.85
151,Olafsvik,IS,2022-12-21 04:16:33,64.8945,-23.7142,30.47,68,94,37.2
152,Kobelyaky,UA,2022-12-21 04:16:33,49.1489,34.1965,32.76,79,100,8.57
153,Egvekinot,RU,2022-12-21 04:16:34,66.3167,-179.1667,9.68,54,3,11.05
154,Thinadhoo,MV,2022-12-21 04:11:53,0.5333,72.9333,81.05,75,100,11.07
155,Te Anau,NZ,2022-12-21 04:16:34,-45.4167,167.7167,69.66,42,9,2.8
156,George,ZA,2022-12-21 04:16:35,-33.963,22.4617,53.15,94,20,1.14
157,Port-Gentil,GA,2022-12-21 04:14:16,-0.7193,8.7815,79.66,77,100,4.94
158,Honningsvag,NO,2022-12-21 04:16:35,70.9821,25.9704,26.35,68,100,8.05
159,Ampanihy,MG,2022-12-21 04:16:36,-24.7,44.75,71.42,91,100,3.13
160,Port Moresby,PG,2022-12-21 04:16:36,-9.4431,147.1797,84.72,71,68,7.16
161,Avera,US,2022-12-21 04:16:37,33.194,-82.5271,38.71,78,100,9.19
162,Izhma,RU,2022-12-21 04:16:37,65.0083,53.9113,-20.29,100,94,2.64
163,Ancud,CL,2022-12-21 04:16:38,-41.8697,-73.8203,57.78,93,78,9.4
164,Poum,NC,2022-12-21 04:16:38,-20.2333,164.0167,78.01,80,64,23.71
165,Tasiilaq,GL,2022-12-21 04:16:38,65.6145,-37.6368,12.36,55,7,3.27
166,Askim,NO,2022-12-21 04:16:39,59.5833,11.1629,34.56,98,100,1.01
167,Lewistown,US,2022-12-21 04:16:39,40.5992,-77.5714,25.54,96,0,0.0
168,Port Elizabeth,ZA,2022-12-21 04:16:40,-33.918,25.5701,61.32,93,75,2.3
169,North Bend,US,2022-12-21 04:15:06,43.4065,-124.2243,53.92,95,100,11.5
170,Banda Aceh,ID,2022-12-21 04:16:40,5.5577,95.3222,82.09,73,86,7.7
171,Pacific Grove,US,2022-12-21 04:16:41,36.6177,-121.9166,49.82,90,0,3.44
172,Coquimbo,CL,2022-12-21 04:16:41,-29.9533,-71.3436,60.53,94,0,2.3
173,Chazuta,PE,2022-12-21 04:16:42,-6.5742,-76.1367,73.65,90,98,1.45
174,Port Hardy,CA,2022-12-21 04:16:42,50.6996,-127.4199,21.38,73,40,9.22
175,Sao Filipe,CV,2022-12-21 04:16:42,14.8961,-24.4956,76.32,62,3,12.08
176,Watsa,CD,2022-12-21 04:16:43,3.0372,29.5355,61.63,88,77,2.35
177,Madison,US,2022-12-21 04:13:24,34.7334,-86.5667,40.46,89,0,0.0
178,Beidao,CN,2022-12-21 04:16:43,34.5686,105.8933,40.57,27,0,3.33
179,Bolshaya Sosnova,RU,2022-12-21 04:16:44,57.6713,54.6029,-15.29,100,85,3.69
180,Ashington,GB,2022-12-21 04:16:44,50.9331,-0.3909,50.43,90,100,8.99
181,Sisimiut,GL,2022-12-21 04:16:45,66.9395,-53.6735,16.93,63,40,4.07
182,Ribeira Grande,PT,2022-12-21 04:16:45,38.5167,-28.7,64.78,96,100,13.0
183,Plettenberg Bay,ZA,2022-12-21 04:17:46,-34.0527,23.3716,59.02,73,57,3.67
184,Russell,US,2022-12-21 04:17:46,32.3502,-85.1999,43.88,93,96,7.85
185,Riyadh,SA,2022-12-21 04:16:07,24.6877,46.7219,48.34,41,6,7.02
186,Bilma,NE,2022-12-21 04:13:24,18.6853,12.9164,58.71,48,81,11.23
187,Kaitangata,NZ,2022-12-21 04:17:47,-46.2817,169.8464,54.39,75,100,12.33
188,Geraldton,AU,2022-12-21 04:17:47,-28.7667,114.6,95.41,26,0,13.8
189,Rock Springs,US,2022-12-21 04:17:48,41.5875,-109.2029,24.24,80,100,10.36
190,Bonavista,CA,2022-12-21 04:17:48,48.6499,-53.1147,33.76,82,31,22.3
191,Hit,IQ,2022-12-21 04:17:08,33.6416,42.8251,52.75,52,1,4.9
192,Constitucion,CL,2022-12-21 04:17:49,-35.3333,-72.4167,56.95,91,0,4.12
193,Gambela,ET,2022-12-21 04:17:49,8.25,34.5833,76.28,53,23,3.27
194,Vila Velha,BR,2022-12-21 04:17:50,-20.3297,-40.2925,75.15,97,100,10.36
195,San Vicente,AR,2022-12-21 04:17:50,-26.6167,-54.1333,62.13,84,8,2.71
196,Tiznit,MA,2022-12-21 04:17:50,29.5833,-9.5,57.97,40,1,4.5
197,Broome,US,2022-12-21 04:17:51,42.2506,-75.833,21.58,86,0,0.0
198,Barabinsk,RU,2022-12-21 04:17:51,55.3571,78.357,15.19,96,100,2.89
199,Tiksi,RU,2022-12-21 04:16:39,71.6872,128.8694,-11.27,100,100,3.56
200,Verkhoyansk,RU,2022-12-21 04:17:52,67.5447,133.385,-27.22,99,89,2.48
201,Bambous Virieux,MU,2022-12-21 04:17:53,-20.3428,57.7575,80.85,65,40,6.91
202,Saint-Philippe,RE,2022-12-21 04:17:53,-21.3585,55.7679,81.99,78,95,7.94
203,Jinchang,CN,2022-12-21 04:17:54,38.4953,102.1739,36.82,25,0,6.42
204,Cabo San Lucas,MX,2022-12-21 04:15:42,22.8909,-109.9124,72.52,65,90,3.09
205,Sorong,ID,2022-12-21 04:17:54,-0.8833,131.25,83.5,76,99,6.98
206,Vredendal,ZA,2022-12-21 04:17:55,-31.6683,18.5012,69.24,52,0,7.43
207,Harrison,US,2022-12-21 04:17:55,30.4091,-89.0436,50.07,92,100,11.5
208,Strezhevoy,RU,2022-12-21 04:17:56,60.7333,77.5889,-5.87,99,95,7.34
209,Asfi,MA,2022-12-21 04:17:56,32.2994,-9.2372,62.78,59,9,5.01
210,Zemio,CF,2022-12-21 04:17:57,5.0314,25.1361,74.64,47,93,2.64
211,Ilulissat,GL,2022-12-21 04:17:57,69.2167,-51.1,17.62,41,41,4.61
212,Havre-Saint-Pierre,CA,2022-12-21 04:17:57,50.2334,-63.5986,28.4,80,100,5.75
213,Yendi,GH,2022-12-21 04:17:58,9.4427,-0.0099,70.38,21,83,5.73
214,Wageningen,NL,2022-12-21 04:17:58,51.9667,5.6667,48.11,98,75,4.61
215,Berdychiv,UA,2022-12-21 04:17:59,49.8993,28.6024,31.8,66,99,5.88
216,Kavaratti,IN,2022-12-21 04:17:59,10.5669,72.642,81.3,70,80,8.57
217,Laje,BR,2022-12-21 04:17:59,-10.1833,-40.9667,70.93,52,80,1.5
218,Lavrentiya,RU,2022-12-21 04:18:00,65.5833,-171.0,11.52,90,3,12.12
219,Black Forest,US,2022-12-21 04:18:00,39.0131,-104.7008,32.05,38,0,5.75
220,Road Town,VG,2022-12-21 04:16:29,18.4167,-64.6167,78.89,75,2,17.94
221,Thompson,CA,2022-12-21 04:18:01,55.7435,-97.8558,-7.44,71,100,6.91
222,Esperance,AU,2022-12-21 04:18:02,-33.8667,121.9,70.54,61,13,15.17
223,Kovdor,RU,2022-12-21 04:18:02,67.5662,30.4758,19.18,94,100,9.22
224,Timra,SE,2022-12-21 04:18:03,62.487,17.3257,28.08,93,100,3.44
225,Kharp,RU,2022-12-21 04:18:03,66.8014,65.8081,-9.47,84,100,3.67
226,Aykhal,RU,2022-12-21 04:18:04,66.0,111.5,-34.62,100,100,5.44
227,Concarneau,FR,2022-12-21 04:18:04,47.875,-3.9225,52.59,94,99,13.18
228,Challans,FR,2022-12-21 04:18:04,46.8436,-1.8749,49.96,91,54,10.29
229,Lashio,MM,2022-12-21 04:18:05,22.9333,97.75,70.5,56,62,1.25
230,La Maddalena,IT,2022-12-21 04:14:15,41.2142,9.4083,41.05,67,54,9.04
231,Carnarvon,AU,2022-12-21 04:19:06,-24.8667,113.6333,81.61,56,0,16.22
232,Hambantota,LK,2022-12-21 04:19:06,6.1241,81.1185,80.65,74,79,3.4
233,Leningradskiy,RU,2022-12-21 04:19:07,69.3833,178.4167,1.29,84,4,11.16
234,Husavik,IS,2022-12-21 04:19:07,66.0449,-17.3389,29.1,82,100,30.42
235,Mogadishu,SO,2022-12-21 04:14:13,2.0371,45.3438,78.44,85,81,12.17
236,Urusha,RU,2022-12-21 04:19:08,54.05,122.9,-10.71,81,33,2.01
237,Panzhihua,CN,2022-12-21 04:19:08,26.5851,101.7128,47.8,86,100,2.62
238,Northam,GB,2022-12-21 04:19:08,51.0333,-4.2167,48.38,96,94,17.78
239,Beloha,MG,2022-12-21 04:16:18,-25.1667,45.05,71.33,96,100,4.03
240,Kayerkan,RU,2022-12-21 04:19:09,69.3497,87.7602,-21.48,75,100,3.27
241,Medicine Hat,CA,2022-12-21 04:15:07,50.0501,-110.6683,-17.28,77,100,5.64
242,Bydgoszcz,PL,2022-12-21 04:19:10,53.1235,18.0076,39.61,91,0,9.22
243,Lagunas,PE,2022-12-21 04:19:10,-5.2269,-75.6753,72.27,94,99,0.2
244,Westport,US,2022-12-21 04:17:40,41.1415,-73.3579,31.55,71,0,6.91
245,Richards Bay,ZA,2022-12-21 04:19:11,-28.783,32.0377,67.51,90,100,12.24
246,Surt,LY,2022-12-21 04:19:11,31.2089,16.5887,60.89,80,76,5.57
247,Avenal,US,2022-12-21 04:19:11,36.0041,-120.129,40.77,64,71,3.71
248,Seoul,KR,2022-12-21 04:16:34,37.5683,126.9778,36.84,87,75,2.3
249,Dingle,PH,2022-12-21 04:19:12,10.9995,122.6711,82.44,81,96,8.23
250,Ozinki,RU,2022-12-21 04:19:12,51.1786,49.6769,21.04,82,99,10.87
251,Karlskrona,SE,2022-12-21 04:19:13,56.1616,15.5866,43.25,99,100,9.19
252,Khrebtovaya,RU,2022-12-21 04:19:13,56.7032,104.2494,-4.72,91,100,6.15
253,Yushu,CN,2022-12-21 04:19:14,44.8,126.5333,14.43,88,100,6.6
254,Okhotsk,RU,2022-12-21 04:19:14,59.3833,143.3,20.25,83,99,15.75
255,Acarau,BR,2022-12-21 04:19:14,-2.8856,-40.12,77.36,83,98,7.07
256,Mar Del Plata,AR,2022-12-21 04:16:57,-38.0023,-57.5575,69.87,88,5,23.0
257,Ambilobe,MG,2022-12-21 04:19:15,-13.2,49.05,77.16,83,93,1.12
258,Beyneu,KZ,2022-12-21 04:19:15,45.3167,55.2,22.03,92,25,9.66
259,Issia,CI,2022-12-21 04:19:16,6.4922,-6.5856,67.8,43,89,0.72
260,Karakol,KG,2022-12-21 04:19:16,42.4907,78.3936,23.22,66,25,3.62
261,Port Lincoln,AU,2022-12-21 04:19:17,-34.7333,135.8667,74.35,56,20,9.33
262,Shakawe,BW,2022-12-21 04:19:17,-18.3667,21.85,71.13,59,65,5.14
263,Babstovo,RU,2022-12-21 04:19:18,48.1167,132.4833,2.03,70,69,3.38
264,Mongo,TD,2022-12-21 04:19:18,12.1844,18.693,65.61,36,42,5.44
265,Saint George,US,2022-12-21 04:15:07,37.1041,-113.5841,39.94,56,0,1.99
266,Suntar,RU,2022-12-21 04:19:19,62.1444,117.6319,-24.92,98,33,3.24
267,Itupiranga,BR,2022-12-21 04:19:19,-5.1347,-49.3267,77.32,95,87,0.92
268,Ballina,AU,2022-12-21 04:19:20,-28.8667,153.5667,76.01,63,67,10.49
269,Zhigansk,RU,2022-12-21 04:19:20,66.7697,123.3711,-24.34,82,100,3.6
270,Quatre Cocos,MU,2022-12-21 04:19:21,-20.2078,57.7625,80.71,68,13,9.44
271,Rocha,UY,2022-12-21 04:15:27,-34.4833,-54.3333,58.57,95,0,5.88
272,Vestmannaeyjar,IS,2022-12-21 04:19:22,63.4427,-20.2734,34.0,52,93,20.87
273,Itarema,BR,2022-12-21 04:19:22,-2.9248,-39.9167,77.09,82,96,7.02
274,Mahajanga,MG,2022-12-21 04:18:29,-15.7167,46.3167,80.62,78,40,6.91
275,Bemidji,US,2022-12-21 04:19:23,47.4736,-94.8803,-17.82,77,82,0.0
276,Sterling,US,2022-12-21 04:15:21,39.0062,-77.4286,31.78,79,20,3.44
277,Fairbanks,US,2022-12-21 04:20:04,64.8378,-147.7164,-34.64,71,0,4.61
278,Along,IN,2022-12-21 04:20:10,28.1667,94.7667,67.53,43,79,0.11
